ID	Value
htd3001	वाढत्या\V_VM औद्योगीककरणाच्या\N_NN बदलत्या\V_VM वातावरणामुळेसुद्धा\N_NN झारखंडमध्ये\N_NNP तुम्ही\PSP निर्मळ\JJ आणि\CC_CCD विशुद्ध\JJ आनंद\N_NN घेऊ\V_VM शकता\V_VAUX .\RD_PUNC
htd3002	``कारण\CC हे\DM आहे\V_VM की\CC ,\RD_PUNC झारखंड\N_NNP एक\QT_QTC असे\PR राज्य\N_NN आहे\V_VM जे\PR शहरीकरणाच्या\N_NN दुष्परिणामापासून\N_NN बहुतांश\QT_QTF प्रमाणात\N_NN स्पर्शरहित\N_NN आहे\V_VM .\RD_PUNC``
htd3003	``झारखंडचे\N_NNP घनदाट\JJ अरण्य\N_NN ,\RD_PUNC पर्वत\N_NN ,\RD_PUNC दर्‍या\N_NN ,\RD_PUNC धबधबा\N_NN ,\RD_PUNC अभयारण्य\N_NN ,\RD_PUNC प्राचीन\JJ इतिहास\N_NN ,\RD_PUNC सभ्यता\N_NN -\RD_SYM संस्कृती\N_NN आणि\CC_CCD सुंदर\JJ शहर\N_NN येथे\PR येणार्‍या\V_VM_VNF पर्यटकाला\N_NN आपल्या\PR_PRF सौंदर्याने\N_NN मोहित\JJ करून\V_VM टाकतात\V_VAUX .\RD_PUNC``
htd3004	``नैसर्गिक\JJ पर्यटनाची\N_NN रमणीय\JJ स्थळ\N_NN झारखंड\N_NNP ,\RD_PUNC जिथल्या\PR_PRL सुंदर\JJ दर्‍या\N_NN आणि\CC_CCD धबधबे\N_NN तुमच्या\PR_PRP मनाच्या\N_NN तारा\N_NN छेडतील\V_VM .\RD_PUNC``
htd3005	``झारखंडचे\N_NNP निवासी\N_NN ,\RD_PUNC प्राचीन\JJ जनजाती\N_NN समुदाय\N_NN ,\RD_PUNC पर्यटकांचे\N_NN मोकळ्या\JJ मनाने\N_NN स्वागत\N_NN करतात\V_VM .\RD_PUNC ``
htd3006	झारखंडची\N_NNP आश्चर्यकारक\N_NN अलौकिक\JJ सुंदरता\N_NN न\RP_NEG केवळ\RB पर्यटकांना\N_NN आपल्याकडे\PR_PRF आकर्षित\N_NN करते\V_VM .\RD_PUNC
htd3007	``झारखंडचे\N_NNP सण\N_NN -\RD_SYM उत्सव\N_NN ,\RD_PUNC नृत्य\N_NN -\RD_SYM संगीत\N_NN ,\RD_PUNC भाषा\N_NN -\RD_SYM साहित्य\N_NN ,\RD_PUNC रमणीय\JJ शहरे\N_NN ,\RD_PUNC वेगाने\N_NN विकसित\N_NN होणारे\V_VM_VNF उद्योग\N_NN केंद्रसुद्धा\N_NN पर्यटकांची\N_NN उत्सुकता\N_NN वाढवतात\V_VM .\RD_PUNC``
htd3008	``आता\RB झारखंडला\N_NNP खनिजे\N_NN ,\RD_PUNC कच्चे\N_NN धातू\N_NN आणि\CC_CCD उद्योगाच्या\N_NN दृष्टीने\N_NN पाहिले\V_VM आणि\CC_CCD मूल्यांकन\N_NN केले\V_VM गेले\V_VAUX .\RD_PUNC ``
htd3009	झारखंडला\N_NNP औद्योगिक\JJ जागतिकिकरणाच्या\N_NN उत्तरोत्तर\N_NN विकासाचासुद्धा\N_NN प्रभाव\N_NN मानला\V_VM जातो\V_VAUX .\RD_PUNC
htd3010	``औद्योगिक\JJ जागतिकिकरणाच्या\N_NN प्रवाहामध्ये\N_NN झारखंडचे\N_NNP खूप\RP_INTF काही\QT_QTF न\RP_NEG पाहिलेले\V_VM ,\RD_PUNC अनोळखी\N_NN आणि\CC_CCD अपेक्षित\N_NN राहिले\V_VM आहे\V_VAUX .\RD_PUNC``
