ID	Value
htd16001	महाकुंभ\N_NN यात्रेत\N_NN गेल्यावर\V_VM सगळ्यात\QT_QTF आधी\N_NST लोक\N_NN गंगास्नान\N_NN करतात\V_VM आणि\CC_CCD या\DM_DMR श्रद्धेच्या\N_NN यात्रेनंतर\N_NN समोर\N_NST येतो\V_VM ’आता\N_NST काय\PR_PRQ करावे\V_VM हा\DM_DMR प्रश्न\N_NN .\RD_PUNC
htd16002	तसे\RB पाहता\V_VM गंगास्नानानंतर\N_NN तुम्ही\PR_PRP हरिद्वारमध्ये\N_NNP अनेक\QT_QTF ठिकाणी\N_NN फिरु\V_VM शकता\V_VAUX .\RD_PUNC
htd16003	यादरम्यान\N_NN एकीकडे\N_NST तुम्ही\PR_PRP आस्थेच्या\N_NN समुद्रात\N_NN बुडी\N_NN माराल\V_VM तर\CC_CCS दुसरीकडॆ\N_NN स्वतःला\PR_PRF आश्चर्यसागरात\N_NN पाहाल\V_VM .\RD_PUNC
htd16004	हरिद्वारच्या\N_NNP घाटावरील\N_NN हरीची\N_NNP पायरी\N_NN प्रसिद्ध\JJ आहे\V_VM आणि\CC_CCD बहुतांश\QT_QTF लोक\N_NN याच\DM_DMR जागी\N_NN स्नानास\N_NN येतात\V_VM .\RD_PUNC
htd16005	आता\N_NST चालू\JJ असलेल्या\V_VM कुंभमेळ्यात\N_NN तुम्हाला\PR_PRP पुष्कळ\QT_QTF साधुसंतांचे\N_NN दर्शन\N_NN होईल\V_VM .\RD_PUNC
htd16006	जेव्हा\CC_CCS तुम्ही\PR_PRP त्यांचे\PR_PRL आशीर्वाद\N_NN घ्याल\V_VM तेव्हा\CC_CCS त्यांना\PR_PRL इंग्रजी\N_NN बोलताना\V_VM पाहून\V_VM आश्चर्यचकित\N_NN होण्याची\V_VM गरज\N_NN नाही\V_VM कारण\CC_CCD यात\DM_DMR तुम्हाला\PR_PRP अनेक\QT_QTF वैद्य\N_NN तसेच\CC_CCD वकिलही\N_NN भेटतील\V_VM .\RD_PUNC
htd16007	मनसा\N_NN देवीचे\N_NN देऊळ\N_NN बिलवा\N_NN पर्वतावर\N_NN आहे\V_VM आणि\CC_CCD येथे\DM_DMD रोज\RB हजारो\N_NN लोक\N_NN दर्शनासाठी\N_NN येतात\V_VM .\RD_PUNC
htd16008	असे\RB म्हटले\V_VM जाते\V_VM की\CC_CCS जी\PR_PRL व्यक्ती\N_NN येथे\DM_DMD सच्च्या\JJ मनाने\N_NN देवीचे\N_NN दर्शन\N_NN घ्यायला\V_VM येते\V_VM तिच्या\PR_PRL सगळ्या\N_NN इच्छा\N_NN पूर्ण\QT_QTF होतात\V_VM .\RD_PUNC
htd16009	येथे\DM_DMD असलेल्या\V_VM कल्पवृक्षाबद्द्दलही\N_NN असेच\CC_CCS_UT म्हटले\V_VM जाते\V_VM .\RD_PUNC
htd16010	येथे\DM_DMD तुम्ही\PR_PRP रोपवे\N_NN किंवा\CC_CCD गिर्यारोहण\N_NN करुन\V_VM पोहचू\V_VM शकता\V_VAUX .\RD_PUNC
