ID	Value
htd1	सातपुरींच्या\N_NNP दर्शनाने\N_NN मिळतो\VM मोक्ष\N_NN .\PUNC
htd2	हिंदू\JJ धर्मामध्ये\N_NN तीर्थक्षेत्रांचे\N_NN खूप\QT_QTF महत्त्व\N_NN आहे\VM .\PUNC
htd3	तसे\PR तर\RP प्रत्येक\QT_QTF तीर्थ\N_NN महत्त्वाचे\N_NN आणि\C_CCD मुख्य\JJ आहे\VM पण\C_CCD सात\Q-QTC स्थानांचे\N_NN महत्त्व\N_NN आणि\C_CCD मान्यता\N_NN मोठी\JJ आहे\VM .\PUNC
htd4	ही\DM सात\Q_QTC धर्मस्थळे\N_NN सात\Q_QTC नगरी\N_NN वा\C_CCD सप्तपुरींच्या\NNP रूपात\N_NN ग्रंथांमध्ये\N_NN वर्णिलेली\JJ आहेत\VM .\PUNC
htd5	असे\PR म्हटले\VM गेले\VAUX आहे\VAUX की\C_CCD चातुर्मासामध्ये\N_NN या\C_CCD सप्तपुरींचे\NNP दर्शन\N_NN मोक्ष\N_NN देणारे\V_VM_VNF ठरते\VM .\PUNC
htd6	याचे\PR नाव\N_NN बनारस\N_NNP अथवा\C_CCD वाराणसी\N_NNP आहे\VM .\PUNC
htd7	गंगा\N_NNP किनार्‍यावर\N_NN ही\DM भगवान\N_NN शंकराची\N_NNP प्रसिद्ध\JJ पुरी\N_NNP आहे\VM .\PUNC
htd8	मुगलसरायहून\N_NNP अमृतसर\N_NNP तसेच\C_CCD डेहराडूनला\N_NNP जाणार्‍या\V_VM_VNF मुख्य\JJ रेल्वे\N_NN मार्गावर\N_NN मुगलसराय\N_NNP स्थानकापासून\N_NN ७\Q_QTC मैल\N_NN अंतरावर\N_NN काशी\N_NNP आणि\C_CCD त्याच्या\PR पुढे\N_NST चार\Q_QTC मैल\N_NN बनारस\N_NNP छावणी\N_NN स्थानक\N_NN आहे\VM .\PUNC
htd9	अलाहाबादच्या\N_NNP प्रयाग\N_NNP स्थानकापासून\N_NN एक\Q_QTC सरळ\JJ मार्ग\N_NN काशीहून\N_NNP बनारस\N_NNP छावणीपर्यंत\N_NN जातो\VM .\PUNC
htd10	ईशान्य\N_NN रेल्वेचा\N_NN एक\Q_QTC मार्ग\N_NN भटनीहून\N_NNP आणि\C_CCD दुसरा\Q_QTC मार्ग\N_NN छपराहून\N_NNP अलाहाबाद\N_NNP शहरापर्यंत\N_NN जातो\VM .\PUNC
htd11	या\DM रस्त्याने\N_NN बनारस\N_NNP शहराहून\N_NN छावणीला\N_NN जाऊ\V_VM शकता\V_VAUX .\PUNC
htd12	पतितांना\N_NN पावन\JJ करणारी\V_VM_VNF गंगा\N_NNP हरिद्वारमध्ये\N_NNP पर्वतीय\JJ प्रदेश\N_NN सोडून\V_VM समतल\JJ प्रदेशात\N_NN प्रवेश\N_NN करते\VM .\PUNC
htd13	यासाठी\PR हरिद्वारला\N_NNP गंगाद्वार\N_NNP असेही\PR म्हटले\V_VM जाते\VAUX .\PUNC
