ID	Value
htd1001	नैसर्गिक\JJ सौंदर्याने\N_NN युक्त\N_NN शिमला\N_NNP हिमाचल\N_NNP प्रदेशाचा\N_NN शिरपेच\N_NN आहे\VM .\RD_PUNC
htd1002	शिमला\N_NNP पर्यटकांसाठी\N_NN एक\QT_QTC दिव्य\N_NN अनुभव\N_NN आहे\VM .\RD_PUNC
htd1003	१८१९\N_NN मध्ये\PSP जेंव्हा\PR_PRL इंग्रजांनी\N_NN शिमला\N_NNP शोधले\VM तेंव्हा\PR_PRL येथे\DM_DMD उंचच\RP_INTF उंच\JJ देवदार\N_NN आणि\CC_CCD चीड\N_NN वृक्षांशिवाय\N_NN काहीही\PR नव्हते\VM .\RD_PUNC
htd1004	इंग्रजांनी\N_NN शिमला\N_NNP वसवले\VM आणि\CC_CCD १८६४\N_NN ते\PR १९३९\N_NN पर्यंत\PSP हे\DM शहर\N_NN कलकत्त्यातील\N_NNP उन्हापासून\N_NN संरक्षण\JJ म्हणून\CC_CCS इंग्रजांची\N_NN हिवाळ्यातील\N_NN राजधानी\N_NN होते\VM .\RD_PUNC
htd1005	स्वतःच्या\PR_PRF सोयीसाठी\N_NN इंग्रजांनी\N_NN शिमल्याला\N_NNP १९०३\N_NN मध्येच\PSP रेल्वेमार्गाने\N_NN संपूर्ण\N_NN देशाला\N_NN जोडले\VM .\RD_PUNC
htd1006	देश\N_NN स्वतंत्र\N_NN झाला\VM तेव्हा\PR_PRL शिमला\N_NNP पंजाब\N_NNP राज्याचा\N_NN भाग\N_NN होते\VM .\RD_PUNC
htd1007	१९६६\N_NN नंतर\RB याला\PR भारत\N_NNP सरकारने\N_NN हिमाचल\N_NNP प्रदेशाची\N_NN राजधानी\N_NN म्हणून\CC_CCS घोषित\N_NN केले\VM .\RD_PUNC
htd1008	समुद्र\N_NN सपाटीपासून\N_NN २१५९\QT_QTC मीटर\N_NN उंचीवर\N_NN असल्यामुळे\VM शिमला\N_NNP थंड\JJ हवेचे\N_NN शहर\N_NN आहे\VM .\RD_PUNC
htd1009	लांब\JJ आणि\CC_CCD रुंद\JJ अशा\PR अर्धचंद्राकार\N_NN पहाडावर\N_NN वसलेले\VM शिमला\N_NNP आज\PR अतिशय\RP_INTF दाट\JJ लोकवस्तीचे\N_NN शहर\N_NN बनले\VM आहे\V_VAUX .\RD_PUNC
htd1010	शिमल्यातील\N_NNP आरोग्यवर्धक\N_NN प्राणवायू\N_NN आणि\CC_CCD हिमालयाच्या\N_NNP आजुबाजुची रचना\N_NN याला\PR इतर\PR पर्यटन\N_NN स्थानांपासून\N_NN भिन्न\N_NN ठरवते\VM .\RD_PUNC
htd1011	गुंतवणुक\N_NN काळाच्याला दरम्यानला बनलेले\VM शिमलालाP शांततेच्या\N_NN शोधात\N_NN गेलेल्या\VM लोकांसाठी\N_NN स्वर्गच\N_NN आहे\VM .\RD_PUNC
htd1012	शिमलाचा\N_NNP रिजप्रदेश\N_NNP दोन\QT_QTC मुख्य\JJ रस्त्यांबरोबर\N_NN १२\QT_QTC किलोमीटर\N_NN लांब\JJ पसरला\VM आहे\V_VAUX .\RD_PUNC
htd1013	दिल्ली\N_NNP ,\RD_PUNC पंजाब\N_NNP आणि\CC_CCD उत्तरप्रदे्शातून\N_NNP शिमलाला\N_NNP जायचा\VM रस्ता\N_NN चंदीगढ\N_NNP मार्गे\N_NN जातो\VM .\RD_PUNC
htd1014	छोटा\JJ मार्ग\N_NN देवदार\N_NN ,\RD_PUNC अक्रोड\N_NN ,\RD_PUNC पाईन\N_NN ,\RD_PUNC जरदाळूच्या\N_NN वृक्षांमधून\N_NN जातो\N_NN जेथे\DM_DMD पर्यटक\N_NN निसर्गसौंदर्याचा\N_NN पूर्ण\JJ लाभ\N_NN घेतात\N_NN .\RD_PUNC
htd1015	शिमल्याचे\N_NNP निसर्गसौंदर्य\N_NN पाहाण्यासाठी\VM पर्यटक\N_NN कालकाच्या\N_NNP छोट्या\JJ मार्गाचा\N_NN वापर\N_NN करतात\VM .\RD_PUNC
htd1016	शिमलामध्ये\N_NNP खरेदीसाठी\N_NN हब\N_NN मॉल\N_NN आहे\VM जो\PR रिज\N_NNP भागात\N_NN आहे\VM आणि\CC_CCD येथे\DM_DMD पर्यटकांची\N_NN गर्दी\JJ दिसून\VM येते\V_VAUX .\RD_PUNC
htd1017	शिमल्यातील\N_NNP रिज\N_NN आणि\CC_CCD माल\N_NN रस्त्याचा\N_NN भाग\N_NN पर्यटकांच्या\N_NN वर्दळीत\N_NN मग्न\JJ असतो\VM .\RD_PUNC
htd1018	माल\N_NNP रस्त्यावर\N_NN वाहन\N_NN वापरास\VM बंदी\N_NN असल्याने\VM पर्यटक\N_NN पायीच\ शिमल्याचे\N_NNP सौंदर्य\N_NN निरखत\VM खरेदी\N_NN करतात\VM .\RD_PUN
htd1019	शिमला\N_NNP येथील\PR मसीहा\N_NN चर्च\N_NN १८४६\N_NN ते\PR १८५७\N_NN दरम्यान\N_NN ११\QT_QTC वर्षात\N_NN बांधले\VM .\RD_PUNC
htd1020	शिमला\N_NNP येथील\PR मसीहा\N_NN चर्च\N_NN प्रसिद्ध\JJ ऐतिहासिक\JJ आणि\CC_CCD उत्तरभारतातील\N_NN दुसरे\QT_QTO प्राचीन\JJ चर्च\N_NN आहे\VM .\RD_PUNC
htd1021	जगातील\N_NN सर्वात\RP_INTF प्राचीन\JJ नाट्यगृहांमध्ये\N_NN शिमला\N_NNP येथील\PR गेयटी\N_NN नाट्यगृह\N_NN माल\N_NNP रस्त्यावर\N_NN आहे\VM .\RD_PUNC
htd1022	जाखू\N_NNP शिखरावर\N_NN जाण्यासाठी\VM स्कॅंडल\N_NN पॉइंट\N_NN पर्यटकांसाठी\N_NN एक\QT_QTC थांबा\N_NN आहे\VM .\RD_PUNC
htd1023	रिजवरील\N_NN या\DM मैदानात\N_NN नेहमी\N_NN ग्रीष्म\N_NN उत्सव\N_NN ,\RD_PUNC राजकीय\JJ समारोह\N_NN ,\RD_PUNC चित्रपटांचे\N_NN छायाचित्रण\N_NN केले\VM जाते\V_VAUX .\RD_PUNC
htd1024	जाखू\N_NNP शिखर\N_NN शिमला\N_NNP येथील\PR सगळ्यात\RP_INTF उंच\JJ पर्वत\N_NN शिखर\N_NN आहे\VM .\RD_PUNC
htd1025	शिमल्यापासून\N_NNP २\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN आणि\CC_CCD ८\QT_QTC हजार\N_NN फूट\N_NN उंचीवर\N_NN असलेला\VM जाखू\N_NNP जिल्हा\N_NN देवदारच्या\N_NN उंच\JJ वृक्षांसाठी\N_NN प्रसिद्ध\JJ आहे\VM तर\CC_CCS निसर्ग\N_NN प्रेमींसाठी\N_NN उपयुक्त\JJ स्थान\N_NN आहे\VM .\RD_PUNC
htd1026	स्कॅंडल\N_NN पॉइंटच्या\N_NN दिशेला\N_NN २\QT_QTC किलोमीटर\N_NN पुढे\N_NST १९४७\N_NN साली\N_NN स्थापन\N_NN केलेले\VM राज्य\N_NN संग्रहालय\N_NN दिवसभर\N_NN चालू\VM असते\V_VAUX .\RD_PUNC
htd1027	राझ्य\N_NNP संग्रहालयात\N_NN जवळजवळ\RB ९\QT_QTC हजार\N_NN वस्तु\N_NN संग्रहित\N_NN केल्या\VM आहेत\V_VAUX .\RD_PUNC
htd1028	येथे\DM_DMD हिमालयातील\N_NNP प्राचीन\JJ ,\RD_PUNC दुर्लभ\JJ आणि\CC_CCD कलात्मक\N_NN वस्तुंचा\N_NN संग्रह\N_NN आहे\VM .\RD_PUNC
htd1029	येथे\DM_DMD ठेवण्यात\VM आलेली\V_VAUX चित्रे\N_NN ,\RD_PUNC नक्षीकाम\N_NN आणि\CC_CCD माणसाच्या\N_NN उंचीच्या\N_NN मूर्ती\N_NN पर्यटकांचे\N_NN आकर्षण\N_NN -\RD_PUNC केंद्र\N_NN आहे\VM .\RD_PUNC
htd1030	संग्रहालय\N_NN शिमल्याहून\N_NNP ६७\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN आहे\VM .\RD_PUNC
htd1031	चाडविक\N_NNP धबधबा\N_NN शिमल्याहून\N_NNP ६७\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN आहे\VM .\RD_PUNC
htd1032	शिमल्याहून\N_NNP ५\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN असणारे\N_NN समर\N_NN हिल\N_NN हे\DM एक\QT_QTC सुंदर\JJ ठिकाण\N_NN आहे\VM .\RD_PUNC
htd1033	६५००\QT_QTC फूट\N_NN उंचीवर\N_NN असणारे\VM समर\N_NN हिल\N_NN स्थळ\N_NN हिमाचल\N_NNP प्रदेश\N_NN विश्वविद्यालयामुळेही\N_NNP प्रसिद्ध\JJ आहे\VM .\RD_PUNC
htd1034	शिमल्याहून\N_NNP १८\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN असणारे\VM इंदिरा\N_NNP हॉलिडे\N_NNP होम\N_NNP देवदाराच्या\N_NN जंगलांमधील\N_NN एक\QT_QTC चांगले\JJ पर्यटनस्थळ\N_NN आहे\VM .\RD_PUNC
htd1035	इंदिरा\N_NNP हॉलिडे\N_NNP होम\N_NNP एक\QT_QTC लहानसे\N_NN प्राणी\N_NN संग्रहालय\N_NN आहे\VM .\RD_PUNC
htd1036	याक\N_NNP आणि\CC_CCD टट्टूस्वारीचा\N_NN आनंदही\N_NN इंदिरा\N_NNP हॉलिडे\N_NNP होम\N_NNP येथे\DM_DMD येऊन\VM घेता\V_VAUX येतो\V_VAUX .\RD_PUNC
htd1037	समुद्र\N_NN सपाटीपासून\N_NN २२५०\QT_QTC मीटर\N_NN उंचीवर\N_NN असलेले\VM चैल\N_NNP शिमल्याहून\N_NNP ६५\QT_QTC किलोमीटर\N_NN लांब\JJ आहे\VM .\RD_PUNC
htd1038	चैलसारख्या\N_NNP शानदार\N_NN पर्यटनस्थळाला\N_NN पटियाळा\N_NNP राज्याचा\N_NN राजा\N_NNP भूपेंद्रसिंहाने\N_NNP आपल्या\PR_PRL ग्रीष्मकालीन\N_NN पर्यटनस्थळाच्या\N_NN रूपात\N_NN वसविले\VM होते\V_VAUX .\RD_PUNC
htd1039	चैल\N_NNP महालाला\N_NN सरकारी\N_NN संपत्ती\N_NN म्हणून\CC_CCS घोषित\N_NN केले\VM आहे\V_VAUX .\RD_PUNC
htd1040	शिमल्याचे\N_NNP वन्यजीव\N_NN अभयारण्य\N_NN पाहण्यासारखे\VM आहे\V_VAUX .\RD_PUNC
htd1041	शिमल्यापासून\N_NNP १६\QT_QTC किलोमीटर\N_NN अंतरावर\N_NN असणारे\VM कुफरी\N_NNP चैलला\N_NNP जाण्याच्या\VM मार्गावर\N_NN आहे\VM .\RD_PUNC
