ID	Value
htd22001	मंदीच्या\N_NN ह्या\DM_DMR काळात\N_NN राजस्थानच्या\N_NNP दोन\QT_QTC शाही\JJ रेल्वेगाड्यांसाठी\N_NN नवीन\JJ पॅकेज\N_NN शोधले\V_VM जात\V_VM आहेत\V_VM आणि\CC_CCD पुढच्या\N_NST पर्यटन\N_NN काळात\N_NN होऊ\V_VM शकते\V_VAUX पॅलेस\N_NN ऑन\N_NN व्हील्स\N_NN वर\N_NST कोणी\DM_DMQ लिज\N_NN हर्ले\N_NN किंवा\CC_CCD अरुण\N_NN नायर\N_NN सारखे\JJ सेलेब्रिटी\N_NN आपले\PR_PRP लग्न\N_NN करताना\V_VM दिसून\V_VM येतील\V_VAUX .\RD_PUNC
htd22002	होय\RP_INJ रेल्वेमध्ये\N_NN लग्न\N_NN आणि\CC_CCD रॉयल\N_NN राजस्थान\N_NN ऑन\N_NN व्हील्समध्ये\N_NN मधूचंद्र\N_NN ह्यांचे\DM_DMR पॅकेज\N_NN ह्या\DM_DMR गाड्यांचे\N_NN संचालन\N_NN सांभाळणारे\V_VM राजस्थान\N_NNP पर्यटन\N_NN विकास\N_NN महामंडळाच्या\N_NN (\RD_SYM आरटीडीसी\N_NN )\RD_SYM योजनांमध्ये\N_NN सामील\N_NN आहे\V_VM .\RD_PUNC
htd22003	आरटीडीसीने\N_NN यथायोग्य\JJ आपल्या\PR_PRP एजंटस्ना\N_NN सांगितले\V_VM आहे\V_VM की\CC_CCS हॉलीवुडला\N_NNP ह्या\DM_DMR पॅकेजसाठी\N_NN टारगेट\N_NN मध्ये\N_NST ठेवा\V_VM .\RD_PUNC
htd22004	नव्या\JJ योजनेत\N_NN एक\QT_QTC आणखी\QT_QTF महत्त्वपूर्ण\JJ गोष्ट\N_NN ह्या\DM_DMR शाही\JJ गाड्यांचा\N_NN चालण्याचा\V_VM अवधी\N_NN देखील\RB वाढवायचा\V_VM आहे\V_VM .\RD_PUNC
htd22005	आधी\N_NST ह्या\DM_DMR गाड्या\N_NN सप्टेंबर\N_NN ते\CC_CCD एप्रिल\N_NN पर्यंतच\CC_CCD चालत\V_VM होत्या\V_VM .\RD_PUNC
htd22006	आता\N_NST यांना\DM_DMR मे\N_NN -\RD_PUNC जूनचा\N_NN कडक\JJ उन्हाळा\N_NN सोडून\V_VM बाकी\QT_QTF पूर्ण\QT_QTF वर्ष\N_NN चालवण्याची\V_VM योजना\N_NN आहे\V_VM .\RD_PUNC
htd22007	पॅलेस\N_NN ऑन\N_NN व्हील्सबद्दल\N_NN तर\CC_CCS आम्हाला\N_NN माहिती\N_NN आहे\V_VM की\CC_CCS त्या\DM_DMR गाडीचे\N_NN २०१०\QT_QTC पर्यंतचे\CC_CCD बुकिंग\N_NN आहे\V_VM .\RD_PUNC
htd22008	परंतु\CC_CCD ह्या\DM_DMR वर्षी\N_NN नवीन\JJ चालविल्या\V_VM गेलेल्या\V_VM जास्त\QT_QTF महाग\JJ आणि\CC_CCD जास्त\QT_QTF सुविधांनी\N_NN युक्त\JJ रॉयल\N_NN राजस्थान\N_NNP ऑन\N_NN व्हील्सचे\N_NN नशीब\N_NN इतके\QT_QTF चांगले\JJ ठरले\V_VM नाही\V_VAUX .\RD_PUNC
htd22009	तिने\PR_PRL पहिला\QT_QTO हंगाम\N_NN रडत\V_VM -\RD_PUNC रडत\V_VM पूर्ण\QT_QTF केला\V_VM आहे.\V_VM
htd22010	आता\N_NST आरटीडीसीला\N_NN आशा\N_NN आहे\V_VM की\CC_CCS नवीन\JJ पॅकेज\N_NN तिचे\PR_PRL नशीब\N_NN सुधारेल\V_VM .\RD_PUNC
htd22011	नव्या\JJ प्रयत्नांमध्ये\N_NN रॉयल\N_NN राजस्थान\N_NNP ऑन\N_NN व्हील्सचे\N_NN भाडेदेखील\N_NN कमी\QT_QTF केले\V_VM जाऊ\V_VAUX शकते\V_VAUX .\RD_PUNC
htd22012	पहिले\QT_QTO हे\DM_DMR उत्तम\JJ दर्जाच्या\N_NN दिवानखान्यासाठी\N_NN ट्विन\N_NN शेयरिंग\N_NN आधारावर\N_NN आठशे\N_NN डॉलर\N_NN दर\N_NN रात्री\N_NN होते\V_VM जे\PR_PRL आता\N_NST ५९०\QT_QTC डॉलर\N_NN दर\N_NN रात्री\N_NN दर\N_NN व्यक्ती\N_NN केले\V_VM जात\V_VM आहे\V_VM म्हणजे\CC_CCD दर\N_NN व्यक्ति\N_NN दर\N_NN रात्री\N_NN भाड्यामध्ये\N_NN जवळजवळ\RB आकरा\QT_QTC हजार\QT_QTC रुपयांची\N_NN कमी\QT_QTF .\RD_PUNC
htd22013	अशातर्‍हेने\CC_CCD सिंगल\N_NN सप्लीमेंटसाठी\N_NN उत्तम\JJ दर्जाचा\N_NN दिवाणखाना\N_NN १२००\QT_QTC डॉलरचा\N_NN होता\V_VM जो\PR_PRL आता\N_NST ८२५\QT_QTC डॉलरचा\N_NN राहिला\V_VM आहे\V_VM म्हणजे\CC_CCD ३७५\QT_QTC डॉलर\N_NN दर\N_NN रात्रीचे\N_NN कमी\QT_QTF .\RD_PUNC
htd22014	उत्तम\JJ दर्जाच्या\N_NN दिवानखान्याचे\N_NN भाडे\N_NN दोन\QT_QTC हजार\QT_QTC ते\CC_CCD चारशे\QT_QTC डॉलर\N_NN कमी\QT_QTF करुन\V_VM १६\QT_QTC शे\N_NN डॉलर\N_NN केले\V_VM गेले\V_VAUX .\RD_PUNC
htd22015	पूर्ण\QT_QTF प्रवासाचा\N_NN हिशोब\N_NN लावला\V_VM तर\CC_CCS भाडे\N_NN पाऊण\QT_QTC लाख\QT_QTC ते\CC_CCD दीड\QT_QTC लाख\QT_QTC रुपयापर्यंत\N_NN कमी\QT_QTF केले\V_VM आहे\V_VAUX .\RD_PUNC
htd22016	रेल्वेमध्ये\N_NN लग्न\N_NN करुन\V_VM देण्याचे\V_VM भाडे\N_NN जवळजवळ\RB ७०\QT_QTC लाख\QT_QTC रुपये\N_NN ठेवले\V_VM आहे\V_VAUX .\RD_PUNC
htd22017	पूर्ण\QT_QTF रेल्वे\N_NN बुक\N_NN केली\V_VM तर\CC_CCS दहा\QT_QTC लाख\QT_QTC रुपयाची\N_NN सूट\N_NN .\RD_PUNC
htd22018	त्यामध्ये\PR_PRL रेल्वेचे\N_NN मुंबई\N_NNP किंवा\CC_CCD अहमदाबाद\N_NNP पर्यंत\CC_CCD घेऊन\V_VM जाण्याची\V_VM शक्यताही\N_NN आहे\V_VM .\RD_PUNC
htd22019	एवढ्यावर\QT_QTF देखील\RB पर्यटकांच्या\N_NN मंदीने\N_NN ही\DM_DMR रेल्वे\N_NN पार\RB केली\V_VM तर\CC_CCS हे\DM_DMR रेल्वेचे\N_NN भाग्यच\N_NN असेल\V_VM .\RD_PUNC
htd22020	काही\QT_QTF आठवड्यापूर्वीच\N_NN प्रवासाने\N_NN तुम्हाला\PR_PRP नाहन\N_NNP व\CC_CCD रेणुका\N_NNP ह्यांचा\DM_DMR प्रवास\N_NN करविला\V_VM होता\V_VAUX आज\N_NN आम्हाला\PR_PRP रेणुकेच्या\N_NNP पुढे\N_NST जायचे\V_VM आहे\V_VM .\RD_PUNC
htd22021	तसे\RB तर\CC_CCS हरिपुरधा्रला\N_NNP जाण्यासाठी\V_VM चार\QT_QTC रस्ते\N_NN आहेत\V_VM आम्ही\PR_PRP नाहनपासून\N_NNP रेणुका\N_NNP करुन\V_VM जाणार\V_VM .\RD_PUNC
htd22022	रेणुकामध्ये\N_NNP तुम्ही\PR_PRP रात्री\N_NN विश्राम\N_NN केला\V_VM असेल\V_VAUX तर\CC_CCS दुसर्‍या\QT_QTO दिवशी\N_NN सकाळी\N_NST न्याहारी\N_NN करुन\V_VM हरिपूरधारसाठी\N_NNP रवाना\N_NN होऊ\V_VM शकता\V_VAUX .\RD_PUNC
htd22023	आधी\N_NST संगडाहला\N_NNP (\RD_SYM २६\QT_QTC कि.मी.\N_NN )\RD_SYM जावे\V_VM लागेल\V_VAUX .\RD_PUNC
htd22024	इथपर्यंत\DM_DMD रस्त्याची\N_NN अवस्था\N_NN इतकी\QT_QTF चांगली\JJ नाही\V_VM याकरिता\CC_CCD आरामात\N_NN ड्राइव्ह\N_NN करावे\V_VM लागेल\V_VAUX .\RD_PUNC
htd22025	रस्त्यावर\N_NN जास्त\QT_QTF ट्रॅफिक\N_NN नसते\V_VM .\RD_PUNC
htd22026	हो\RP_INJ माइनिंग\N_NN क्षेत्र\N_NN असल्यामुळे\V_VM छोटे\JJ -\RD_PUNC मोठे\JJ ट्रक\N_NN अवश्य\RB मिळतात\V_VM .\RD_PUNC
htd22027	रेणुकामधून\N_NNP निघून\V_VM प्रवास\N_NN सुरू\JJ करताच\V_VM आम्ही\PR_PRP त्या\DM_DMR क्षेत्रामध्ये\N_NN येतो\V_VM जेथे\DM_DMD दिल्लीसाठी\N_NNP पाणी\N_NN सप्लाय\N_NN करण्यासाठी\V_VM धरण\N_NN बनवले\V_VM जात\V_VM आहे\V_VAUX .\RD_PUNC
htd22028	येथे\DM_DMD काही\QT_QTF किलोमीटर\N_NN दूर\N_NST एक\QT_QTC आकर्षक\JJ जलस्रोत\N_NN आहे\V_VM जो\PR_PRL पर्यटकांना\N_NN थांबवतो\V_VM .\RD_PUNC
htd22029	हे\DM_DMR क्षेत्र\N_NN चित्तवेधक\JJ संस्कृति\N_NN असणारा\V_VM प्रदेश\N_NN आहे\V_VM .\RD_PUNC
htd22030	बहुपति\N_NN व\CC_CCD बहुपत्नी\N_NN सारख्या\JJ परंपरांच्या\N_NN खुणा\N_NN आजदेखील\RB येथे\DM_DMD आहेत\V_VM .\RD_PUNC
htd22031	संगडाह\N_NNP प्रसिद्ध\JJ पर्यावरणरक्षक\N_NN स्वर्गीय\N_NN किंकरी\N_NNP देवीसाठी\N_NN विशेष\JJ प्रसिद्ध\JJ आहे\V_VM .\RD_PUNC
htd22032	येथे\DM_DMD साधे\JJ जेवण\N_NN उपलब्ध\JJ आहे\V_VM तेदेखील\RB तुम्ही\PR_PRP वेळेवर\N_NN पोहचलात\V_VM तरच\RB .\RD_PUNC
htd22033	आम्ही\PR_PRP न्याहारी\N_NN करुन\V_VM चाललो\V_VM होतो\V_VM व\CC_CCD आरामात\N_NN आलो\V_VM .\RD_PUNC
htd22034	समोर\N_NST एका\QT_QTC दुकानात\N_NN बनत\V_VM असलेले\V_VM आलूच्या\N_NN पराठ्यांच्या\N_NN दूरुन\V_VM येणार्‍या\V_VM सुगंधाने\N_NN बोलवलेच\V_VM .\RD_PUNC
htd22035	आले\N_NN ,\RD_PUNC लसूण\N_NN ,\RD_PUNC हिरवी\JJ मिरची\N_NN ,\RD_PUNC कोथंबीर\N_NN पेरलेले\V_VM पराठे\N_NN ताज्या\JJ दह्याबरोबर\N_NN खाऊन\V_VM मजा\N_NN आली\V_VM .\RD_PUNC
htd22036	येथून\DM_DMD एक\QT_QTC रस्ता\N_NN हरिपूरधारच्या\N_NNP दिशेने\N_NN (\RD_SYM २६\QT_QTC किमी.\N_NN )\RD_SYM जातो\V_VM .\RD_PUNC
htd22037	नागमोडी\JJ पहाडी\JJ रस्त्यांच्या\N_NN उंचीवर\N_NN पसरलेली\V_VM हिरवळ\N_NN आपली\PR_PRP सोबतीण\N_NN होते\V_VM .\RD_PUNC
htd22038	खोल\JJ दर्‍या\N_NN ,\RD_PUNC विविध\JJ प्रकारचे\N_NN वृक्ष\N_NN ,\RD_PUNC पक्ष्यांची\N_NN चिवचिव\N_NN ,\RD_PUNC आकर्षक\JJ खडक\N_NN व\CC_CCD निळ्या\JJ आकाशाच्या\N_NN सानिध्यात\N_NN थोडा\QT_QTF वेळ\N_NN थांबून\V_VM वाटते\V_VM की\CC_CCS आयुष्यात\N_NN कधी-कधी\DM_DMQ सहल\N_NN होत\V_VM राहिली\V_VM तर\CC_CCS मजा\N_NN चालू\JJ राहिल\V_VM .\RD_PUNC
htd22039	बुरांश\N_NN ,\RD_PUNC कैल\N_NN ,\RD_PUNC देवदार\N_NN ह्यांच्या\PR_PRP झाडांच्या\N_NN स्वच्छ-सुबकपणे\JJ व\CC_CCD निरोगी\JJ हवेला\N_NN जीवनाचे\N_NN साथीदार\N_NN करत\V_VM आम्ही\PR_PRP हरिपूरधारला\N_NNP पोहचलो\V_VM .\RD_PUNC
htd22040	हा\DM_DMR एक\QT_QTC छोटा\JJ पहाडी\JJ कसबा\N_NN आहे\V_VM .\RD_PUNC
htd22041	राहण्या\V_VM आणि\CC_CCD खाण्या\V_VM -\RD_PUNC पिण्याची\V_VM चांगली\JJ व्यवस्था\N_NN इथे\DM_DMD आहे\V_VM .\RD_PUNC
htd22042	संध्याकाळ\N_NN आणि\CC_CCD चहाची\N_NN वेळ\N_NN झाली\V_VM होती\V_VM तर\CC_CCS आल्याचा\N_NN चहा\N_NN प्यायला\V_VM तेंव्हा\CC_CCS जणू\RP_RPD शरीरात\N_NN जीव\N_NN आला\V_VM .\RD_PUNC
