Word 1 	 Word 2 	 Label 	 Additive 	 Multiplicative 	 Hy-Avg 0.5 	 Hy-Avg 0.7 	 Hy-Norm 0.5 	 Hy-Norm 0.7
that	droog	0	0	0	0	0	0	0
that	kseros	0	0	0	0	0	0	0
that	suko	0	0	0	0	0	0	0
that	ses	0	1	0	0	0	0	0
that	i-that	0	0	0	0	0	0	0
that	kok	1	0	1	1	1	1	1
that	sir	0	0	0	0	0	0	0
that	thurr	0	0	0	0	0	0	0
that	khoshk	0	0	0	1	1	0	1
that	sech	0	0	0	0	0	0	0
that	turrur	0	0	0	0	0	0	0
that	suku	0	0	0	0	0	0	0
that	suv	0	0	0	0	0	0	0
that	sauss	0	0	0	0	0	0	0
that	droech	0	0	0	0	0	0	0
that	suxe	0	0	0	0	0	0	0
that	suchy	0	0	0	0	0	0	0
droog	kseros	0	0	0	0	0	0	0
droog	suko	0	0	0	0	0	0	0
droog	ses	0	0	0	0	0	0	0
droog	i-that	0	0	0	0	0	0	0
droog	kok	0	0	0	0	0	0	0
droog	sir	0	0	0	0	0	0	0
droog	thurr	0	0	0	0	0	0	0
droog	khoshk	0	0	0	0	0	0	0
droog	sech	0	0	0	0	0	0	0
droog	turrur	0	0	0	0	0	0	0
droog	suku	0	0	0	0	0	0	0
droog	suv	0	0	0	0	0	0	0
droog	sauss	0	0	0	0	0	0	0
droog	droech	0	0	0	0	0	0	0
droog	suxe	1	0	0	0	0	0	0
droog	suchy	0	0	0	0	0	0	0
kseros	suko	0	0	0	0	0	0	0
kseros	ses	0	0	0	0	0	0	0
kseros	i-that	0	0	0	0	0	0	0
kseros	kok	0	0	0	0	0	0	0
kseros	sir	0	0	0	0	0	0	0
kseros	thurr	0	0	1	0	0	0	0
kseros	khoshk	0	0	0	0	0	0	0
kseros	sech	0	0	0	0	0	0	0
kseros	turrur	0	0	0	0	0	0	0
kseros	suku	0	0	0	0	0	0	0
kseros	suv	0	0	0	0	0	0	0
kseros	sauss	0	0	0	0	0	0	0
kseros	droech	0	0	0	0	0	0	0
kseros	suxe	0	0	0	0	0	0	0
kseros	suchy	0	0	0	0	0	0	0
suko	ses	0	0	0	0	0	0	0
suko	i-that	0	1	0	0	0	0	0
suko	kok	0	0	0	0	0	0	0
suko	sir	1	1	0	1	1	1	1
suko	thurr	0	1	0	0	1	0	0
suko	khoshk	0	1	0	0	1	0	0
suko	sech	1	0	0	0	0	0	0
suko	turrur	0	0	0	0	0	0	0
suko	suku	0	0	0	0	0	0	0
suko	suv	1	1	1	1	1	1	1
suko	sauss	1	0	1	0	0	0	0
suko	droech	1	1	0	0	1	0	0
suko	suxe	0	1	0	0	0	0	0
suko	suchy	1	0	1	1	1	1	1
ses	i-that	1	1	0	1	1	0	0
ses	kok	0	0	0	0	0	0	0
ses	sir	0	0	0	0	0	0	0
